================================================================================
D2 — RAW (coleta operador) — policies integrais
================================================================================
Project ref: zaemlxjwhzrfmowbckmk
Timestamp UTC: 2026-08-12T20:49:00Z
READ-ONLY

| schemaname | tablename        | policyname                                 | permissive | roles           | cmd    | qual                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               | with_check                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |
| ---------- | ---------------- | ------------------------------------------ | ---------- | --------------- | ------ | -------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- | ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------ |
| public     | admin_audit_logs | admin_audit_logs_insert_own                | PERMISSIVE | {authenticated} | INSERT | null                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               | (auth.uid() = actor_user_id)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         |
| public     | admin_audit_logs | admin_audit_logs_select_admins             | PERMISSIVE | {authenticated} | SELECT | ((EXISTS ( SELECT 1 FROM users u WHERE ((u.auth_user_id = auth.uid()) AND (upper((COALESCE(u.role, ''::character varying))::text) = ANY (ARRAY['SINDICO'::text, 'SÍNDICO'::text, 'ADMIN'::text, 'ADMINISTRADOR'::text, 'ADMINISTRADORA'::text, 'DESENVOLVEDOR'::text, 'DEVELOPER'::text, 'DEV'::text, 'PORTEIRO'::text, 'PORTARIA'::text, 'CABO_TURMA'::text]))))) OR (EXISTS ( SELECT 1 FROM staff s WHERE ((s.auth_user_id = auth.uid()) AND (upper((COALESCE(s.role, ''::character varying))::text) = ANY (ARRAY['SINDICO'::text, 'SÍNDICO'::text, 'ADMIN'::text, 'ADMINISTRADOR'::text, 'ADMINISTRADORA'::text, 'DESENVOLVEDOR'::text, 'DEVELOPER'::text, 'DEV'::text, 'PORTEIRO'::text, 'PORTARIA'::text, 'CABO_TURMA'::text])))))) | null                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |
| public     | app_config       | Allow all operations on app_config         | PERMISSIVE | {public}        | ALL    | true                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               | true                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |
| public     | areas            | Allow all operations on areas              | PERMISSIVE | {public}        | ALL    | true                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               | true                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |
| public     | boletos          | Allow delete boletos                       | PERMISSIVE | {public}        | DELETE | true                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               | null                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |
| public     | boletos          | Allow insert boletos                       | PERMISSIVE | {public}        | INSERT | null                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               | true                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |
| public     | boletos          | Allow read boletos                         | PERMISSIVE | {public}        | SELECT | true                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               | null                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |
| public     | boletos          | Allow update boletos                       | PERMISSIVE | {public}        | UPDATE | true                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               | null                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |
| public     | notice_reads     | notice_reads_delete                        | PERMISSIVE | {public}        | DELETE | true                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               | null                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |
| public     | notice_reads     | notice_reads_insert                        | PERMISSIVE | {public}        | INSERT | null                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               | true                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |
| public     | notice_reads     | notice_reads_select                        | PERMISSIVE | {public}        | SELECT | true                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               | null                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |
| public     | notices          | notices_delete_all_roles                   | PERMISSIVE | {public}        | DELETE | true                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               | null                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |
| public     | notices          | notices_insert_all_roles                   | PERMISSIVE | {public}        | INSERT | null                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               | true                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |
| public     | notices          | notices_select_all_roles                   | PERMISSIVE | {public}        | SELECT | true                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               | null                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |
| public     | notices          | notices_update_all_roles                   | PERMISSIVE | {public}        | UPDATE | true                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               | null                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |
| public     | notifications    | Moradores podem excluir suas notificações  | PERMISSIVE | {public}        | DELETE | true                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               | null                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |
| public     | notifications    | Permitir atualização de notificações       | PERMISSIVE | {public}        | UPDATE | true                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               | true                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |
| public     | notifications    | Permitir inserção de notificações          | PERMISSIVE | {public}        | INSERT | null                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               | true                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |
| public     | notifications    | Permitir leitura de notificações           | PERMISSIVE | {public}        | SELECT | true                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               | null                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |
